Населени места,2004,2005,2006,2007,2008,2009,2010,2011
BG-01,3240,3216,3392,3412,3576,3587,3380,3184
BG-02,4359,4448,4820,4919,4949,5227,4563,4326
BG-03,4647,4969,5498,5374,5633,5937,5382,4971
BG-04,2211,2348,2263,2366,2445,2531,2406,2298
BG-05,910,904,871,818,823,870,840,763
BG-06,1781,1704,1710,1780,1742,1809,1631,1600
BG-07,1050,1096,1115,1078,1087,1055,1044,1001
BG-08,1946,1973,2096,2082,2078,2128,1844,1862
BG-09,1731,1606,1715,1715,1772,1732,1616,1457
BG-10,1159,1194,1184,1209,1217,1233,1105,1094
BG-11,1436,1399,1384,1393,1412,1426,1291,1232
BG-12,1303,1326,1346,1374,1380,1493,1292,1273
BG-13,2905,2945,2959,2934,3025,3154,2937,2778
BG-14,932,1052,978,1051,1107,1194,1103,1013
BG-15,2587,2570,2594,2515,2741,2766,2569,2412
BG-16,6489,6568,6676,7053,7308,7728,7248,6889
BG-17,1336,1274,1183,1195,1308,1328,1145,1066
BG-18,2158,2034,2160,2138,2199,2309,2186,1864
BG-19,1145,1102,1095,1152,1207,1251,1131,1055
BG-20,2653,2590,2712,2749,2765,2863,2561,2498
BG-21,1001,985,1071,1056,992,1065,1032,790
BG-23,2091,2101,2208,2297,2223,2366,2172,2148
BG-22,11015,12129,12848,13453,14449,15360,14949,13812
BG-24,3382,3296,3526,3576,3611,3732,3605,3340
BG-25,1385,1258,1358,1337,1373,1375,1365,1263
BG-26,2312,2293,2355,2382,2300,2514,2411,2250
BG-27,1910,1916,1986,2099,2125,2112,1944,1852
BG-28,1359,1344,1392,1408,1436,1427,1353,1311
